2023-11-05 20:55:20,896 - INFO - Endpoint: /dashboard/project | Processing time: 7.041 ms
2023-11-05 20:55:20,905 - INFO - Endpoint: /dashboard/project | Processing time: 8.599 ms
2023-11-05 20:55:20,966 - INFO - Endpoint: /dashboard/project | Processing time: 58.879 ms
2023-11-05 20:55:20,966 - INFO - Endpoint: /dashboard/project | Processing time: 59.879000000000005 ms
2023-11-05 20:55:50,080 - INFO - Endpoint: /login | Processing time: 0.0 ms
2023-11-05 20:55:50,113 - INFO - Endpoint: /login | Processing time: 32.565999999999995 ms
2023-11-05 20:55:55,447 - INFO - Endpoint: /login | Processing time: 0.0 ms
2023-11-05 20:55:55,478 - INFO - Endpoint: /login | Processing time: 31.002 ms
2023-11-05 20:55:55,565 - INFO - Endpoint: /dashboard/project/count | Processing time: 0.0 ms
2023-11-05 20:55:55,566 - INFO - Endpoint: /dashboard/building/count | Processing time: 0.0 ms
2023-11-05 20:55:55,568 - INFO - Endpoint: /dashboard/project/location_ratio | Processing time: 0.0 ms
2023-11-05 20:55:55,595 - INFO - Endpoint: /dashboard/project/count | Processing time: 25.346 ms
2023-11-05 20:55:55,596 - INFO - Endpoint: /dashboard/project/construction_company_ratio | Processing time: 22.348 ms
2023-11-05 20:55:55,599 - INFO - Endpoint: /dashboard/project/usage_ratio | Processing time: 0.0 ms
2023-11-05 20:55:55,609 - INFO - Endpoint: /dashboard/building/count | Processing time: 10.796 ms
2023-11-05 20:55:55,621 - INFO - Endpoint: /dashboard/project/location_ratio | Processing time: 11.581 ms
2023-11-05 20:55:55,621 - INFO - Endpoint: /dashboard/project/total_area_histogram | Processing time: 10.581 ms
2023-11-05 20:55:55,624 - INFO - Endpoint: /dashboard/building/floor_count_histogram | Processing time: 0.0 ms
2023-11-05 20:55:55,625 - INFO - Endpoint: /dashboard/project/map | Processing time: 0.9990000000000001 ms
2023-11-05 20:55:55,626 - INFO - Endpoint: /user/profile | Processing time: 0.0 ms
2023-11-05 20:55:55,641 - INFO - Endpoint: /dashboard/project/construction_company_ratio | Processing time: 14.553999999999998 ms
2023-11-05 20:55:55,653 - INFO - Endpoint: /dashboard/project/usage_ratio | Processing time: 11.998999999999999 ms
2023-11-05 20:55:55,654 - INFO - Endpoint: /dashboard/project/count | Processing time: 1.001 ms
2023-11-05 20:55:55,655 - INFO - Endpoint: /dashboard/building/count | Processing time: 0.0 ms
